    source_id  sector    period  planet_radius_rearth  equilibrium_temperature_k  snr_adopted  n_transits candidate_class discovery_priority science_priority_bucket  science_priority_score                campaign_tier
TIC 347299560      24  4.767363              0.729194                 859.895697    10.804279           6               A           FOLLOWUP         SMALL_COOL_CORE                      95        TIER1_SMALL_COOL_CORE
TIC 238432056      17  3.847347              2.100544                1048.786906    28.399098           7               C          WATCHLIST         SMALL_COOL_CORE                      62        TIER1_SMALL_COOL_CORE
TIC 352179145      17 11.439335              2.053441                 512.611537    18.873119           3               C          WATCHLIST         SMALL_COOL_CORE                      60        TIER1_SMALL_COOL_CORE
TIC 201778444      57 10.528676              1.496876                 763.821088     8.982545           3               A             REJECT         SMALL_COOL_CORE                      60        TIER1_SMALL_COOL_CORE
TIC 407423779      18 10.432053              1.128080                 683.351501     8.225508           3               A             REJECT         SMALL_COOL_CORE                      60        TIER1_SMALL_COOL_CORE
TIC 439949948      17  6.741639              0.760985                 559.058609     7.969399           3               A             REJECT         SMALL_COOL_CORE                      60        TIER1_SMALL_COOL_CORE
TIC 439946042      17  8.596382              0.979078                 797.701192     7.452918           3               A             REJECT  SMALL_COOL_SECOND_LOOK                      45 TIER2_SMALL_COOL_SECOND_LOOK
TIC 427332476      42  9.782596              1.121718                 651.530537     7.207004           3               A             REJECT  SMALL_COOL_SECOND_LOOK                      45 TIER2_SMALL_COOL_SECOND_LOOK
TIC 373513128      18  6.562398              1.378364                 856.148821     6.566776           4               A             REJECT  SMALL_COOL_SECOND_LOOK                      45 TIER2_SMALL_COOL_SECOND_LOOK
TIC 354532520      17  9.956766              0.719979                 704.744471     6.401414           3               A             REJECT  SMALL_COOL_SECOND_LOOK                      45 TIER2_SMALL_COOL_SECOND_LOOK
TIC 283858887      57 14.114608              0.722934                 769.177918     5.690487           3               A             REJECT  SMALL_COOL_SECOND_LOOK                      45 TIER2_SMALL_COOL_SECOND_LOOK
TIC 411524787      17  9.402575              0.974041                 743.091258     6.802850           2               A             REJECT  SMALL_COOL_SECOND_LOOK                      40 TIER2_SMALL_COOL_SECOND_LOOK
