source_id,sector,period,depth_ppm,planet_radius_rearth,equilibrium_temperature_k,snr_adopted,n_transits,stellar_teff,stellar_radius,stellar_tmag,candidate_class,total_score,is_false_positive,is_binary_suspect,tls_odd_even_mismatch
TIC 201744712,57,0.8693827147971539,608.543781411286,5.2687193523429485,2756.341381572216,61.440094955913516,33,5789.53,2.10452,7.6144,A,100.0,False,False,0.8952845927218591
TIC 326682209,57,16.523799524489437,618.4853976289872,2.0324075549557215,779.6701836865803,24.114892742708037,2,5965.0,1.14755,7.2731,A,100.0,False,True,4.853347913377817
TIC 257501838,42,0.6652034601779061,623.1770592436403,3.716889920847947,2655.615389410687,24.015912575014315,35,6589.76,1.38279,8.7253,A,100.0,False,False,1.157146091810346
TIC 238302153,57,1.1923131424238784,628.6316544868997,4.37212931747462,2432.5341296443626,23.42796508330825,24,7105.0,1.54374,8.71501,A,100.0,False,False,0.819620765211127
TIC 395321135,83,2.5582162447379666,154.42134625009984,3.2237984372517747,2266.872657925173,21.69027687023153,10,6654.0,2.44447,6.95515,A,100.0,False,False,0.0778049642538136
TIC 439951000,17,0.8436522746449802,354.16879007144075,3.2479508128322143,2930.136576413302,20.343102267074656,28,7561.0,1.62658,8.13098,A,100.0,False,False,0.2862985625536502
TIC 357392128,42,7.117845817611846,1785.7031071129015,4.910970314243318,974.3525370420929,19.866787838369653,3,5885.0,1.04373,9.0591,A,100.0,False,False,
TIC 611061025,42,9.641133547973636,1721.8158296734564,5.173490889531104,887.4025109575797,16.38368549446343,3,5352.0,1.22076,9.77105,A,100.0,False,True,3.809255768657167
TIC 432549056,17,0.5821358050054575,365.58868775471433,1.96872535442829,2073.223939387154,13.141919190281753,40,5818.89,0.904996,9.4349,A,100.0,False,False,0.41226657982484816
TIC 407335667,17,1.6486232691067877,347.35419069253925,2.5545936173207857,1886.2822734285257,12.887892937985075,14,6518.68,1.29608,9.18941,A,100.0,False,False,0.7330999026957236
TIC 405266660,42,0.9718776864441111,362.13287274833306,1.765171222947689,2228.305680529182,12.831414200209776,24,6622.0,1.2474,9.1496,A,100.0,False,False,1.2722247479754947
TIC 352146741,17,5.002255216470168,310.07893731416215,0.7972532258784599,989.1396613415776,12.23799555851196,5,5569.0,0.92208,8.1477,A,100.0,False,False,0.7694115097425294
TIC 405609794,17,0.6237712075123029,306.8175315328325,2.729403885166467,2743.3156331366704,11.533275611612684,38,6279.0,1.50092,8.61823,A,100.0,False,False,0.24941064641376
TIC 347299560,24,4.767362724798655,326.34667260822425,0.7291940451543587,859.8956968038264,10.804278558282869,6,4878.0,0.822076,8.1797,A,100.0,False,False,1.3622875533570336
TIC 282721706,57,0.7064615731199552,165.74798258484068,2.0632380952111147,3141.222457946961,10.76642346005236,40,7637.0,1.63713,8.34015,A,100.0,False,False,0.6150485052637179
TIC 427687054,83,1.0064762932728135,590.9815790936524,4.4368871484881565,3059.264039583741,10.337632306835857,25,7479.0,2.02557,9.4506,A,100.0,False,False,0.33835670601087253
TIC 357391170,57,13.09675922212644,567.8750052718894,5.044980083809938,1064.6927357244244,10.317366804218103,3,6171.53,1.75801,9.6585,A,100.0,False,False,0.5797808841872613
