source_id,sector,period,depth_ppm,planet_radius_rearth,equilibrium_temperature_k,snr_adopted,n_transits,stellar_teff,stellar_radius,stellar_tmag,candidate_class,total_score,discovery_priority,is_false_positive,is_binary_suspect,tls_odd_even_mismatch,tier
TIC 354532520,17,9.956765640188243,355.50651491544903,0.7199786595598588,704.7444714272846,6.401414369732828,3,5387.58,0.777686,8.8917,A,100.0,REJECT,False,False,0.22156663354949127,reject_second_look
TIC 439949948,17,6.741638752115444,588.3174971367256,0.7609852432817136,559.0586091384658,7.9693993731543165,3,3947.0,0.61088,7.4218,A,100.0,REJECT,False,False,,reject_second_look
TIC 117929446,57,13.794193046854224,411.7535319525523,0.7887513953703436,616.2741009221679,7.90884832835533,3,5148.0,0.791644,8.8397,A,100.0,REJECT,False,False,1.5559612643952367,reject_second_look
TIC 194304288,17,9.84949381560107,467.5038766281947,1.3655690144358925,904.4477377687175,5.876331397793787,3,5966.77,1.09444,9.78913,A,100.0,REJECT,False,True,4.125991627526983,reject_second_look
TIC 259255514,17,7.435512149370806,370.64813764897673,1.4513239156476734,1057.0290934498157,5.099776171094268,3,6317.0,1.15413,9.4801,A,100.0,REJECT,False,False,,reject_second_look
TIC 359043182,85,0.6853280299528005,268.0175608087421,1.4872019115952457,2449.5151589032916,9.514747345072562,37,6850.0,0.0,9.55653,A,100.0,REJECT,False,False,0.47116328757365056,reject_second_look
TIC 83959472,17,9.706017820272947,1813.7876131401053,1.697106686982524,709.0756600209581,9.668669177189093,3,5223.0,0.811567,9.6831,A,100.0,REJECT,False,False,0.8577410532801265,reject_second_look
TIC 405186695,42,1.0256493162918146,166.15405094078108,1.7085202886473871,3018.073523580451,8.834749560550406,23,7485.0,1.99315,8.5632,A,100.0,REJECT,False,False,1.2430139868620114,reject_second_look
TIC 407335307,17,11.215595029090204,392.54028922186546,1.7406319066445635,1019.9619839361592,6.654236669469434,3,6437.0,1.382,8.86001,A,100.0,REJECT,False,False,,reject_second_look
TIC 407335667,17,1.6486232691067877,347.35419069253925,2.5545936173207857,1886.2822734285257,12.887892937985075,14,6518.68,1.29608,9.18941,A,100.0,FOLLOWUP,False,False,0.7330999026957236,small_explore
TIC 238301837,57,9.75819835352181,557.8730817459299,2.5598163615667735,911.9110765499013,7.801931994731681,3,5976.0,1.10362,9.49393,C,50.0,WATCHLIST,False,True,3.514469213181701,small_explore
TIC 456481802,83,11.780152815143365,533.4689023471784,2.700350203279499,860.9124436350667,10.68622186607562,3,5711.36,1.19054,8.97512,C,50.0,WATCHLIST,False,True,3.361307017268061,small_explore
TIC 405609794,17,0.6237712075123029,306.8175315328325,2.729403885166467,2743.3156331366704,11.533275611612684,38,6279.0,1.50092,8.61823,A,100.0,FOLLOWUP,False,False,0.24941064641376,small_explore
TIC 347299560,24,4.767362724798655,326.34667260822425,0.7291940451543587,859.8956968038264,10.804278558282869,6,4878.0,0.822076,8.1797,A,100.0,FOLLOWUP,False,False,1.3622875533570336,small_temperate_core
TIC 352146741,17,5.002255216470168,310.07893731416215,0.7972532258784599,989.1396613415776,12.23799555851196,5,5569.0,0.92208,8.1477,A,100.0,FOLLOWUP,False,False,0.7694115097425294,small_temperate_core
TIC 201891971,17,0.6653969054401913,101.27059166031849,1.6125536722016132,3160.9071264158238,8.347195082718688,34,7509.0,1.63174,9.2028,C,50.0,WATCHLIST,False,False,0.9900986126907453,small_temperate_core
TIC 405266660,42,0.9718776864441111,362.13287274833306,1.765171222947689,2228.305680529182,12.831414200209776,24,6622.0,1.2474,9.1496,A,100.0,FOLLOWUP,False,False,1.2722247479754947,small_temperate_core
TIC 432549056,17,0.5821358050054575,365.58868775471433,1.96872535442829,2073.223939387154,13.141919190281753,40,5818.89,0.904996,9.4349,A,100.0,FOLLOWUP,False,False,0.41226657982484816,small_temperate_core
TIC 326682209,57,16.523799524489437,618.4853976289872,2.0324075549557215,779.6701836865803,24.114892742708037,2,5965.0,1.14755,7.2731,A,100.0,FOLLOWUP,False,True,4.853347913377817,small_temperate_core
TIC 282721706,57,0.7064615731199552,165.74798258484068,2.0632380952111147,3141.222457946961,10.76642346005236,40,7637.0,1.63713,8.34015,A,100.0,FOLLOWUP,False,False,0.6150485052637179,small_temperate_core
TIC 238432056,17,3.8473474971877732,578.1022081057241,2.1005441513178473,1048.7869055529106,28.399098464563668,7,5489.0,0.889627,5.3971,C,50.0,WATCHLIST,False,False,1.9791000418230436,small_temperate_core
