source_id,sector,period,planet_radius_rearth,equilibrium_temperature_k,snr_adopted,n_transits,candidate_class,discovery_priority,science_priority_bucket,science_priority_score,campaign_tier,followup_status
TIC 347299560,24,4.767362724798655,0.7291940451543587,859.8956968038264,10.804278558282869,6,A,FOLLOWUP,SMALL_COOL_CORE,95,TIER1_SMALL_COOL_CORE,MCMC_CONVERGED
TIC 238432056,17,3.847347497187773,2.1005441513178478,1048.7869055529106,28.399098464563668,7,C,WATCHLIST,SMALL_COOL_CORE,62,TIER1_SMALL_COOL_CORE,
TIC 352179145,17,11.439335471795898,2.05344126772776,512.6115374550749,18.873118515051548,3,C,WATCHLIST,SMALL_COOL_CORE,60,TIER1_SMALL_COOL_CORE,
TIC 201778444,57,10.528676007642373,1.4968755301790837,763.8210884799968,8.982545317793111,3,A,REJECT,SMALL_COOL_CORE,60,TIER1_SMALL_COOL_CORE,MAP_FOLLOWUP_OK
TIC 407423779,18,10.432053319583584,1.1280799028034092,683.3515008094397,8.22550840522952,3,A,REJECT,SMALL_COOL_CORE,60,TIER1_SMALL_COOL_CORE,MAP_FOLLOWUP_OK
TIC 439949948,17,6.741638752115444,0.7609852432817136,559.0586091384658,7.9693993731543165,3,A,REJECT,SMALL_COOL_CORE,60,TIER1_SMALL_COOL_CORE,MCMC_CONVERGED
TIC 439946042,17,8.596382399585794,0.9790782087463892,797.7011918046511,7.452918378962293,3,A,REJECT,SMALL_COOL_SECOND_LOOK,45,TIER2_SMALL_COOL_SECOND_LOOK,MCMC_CONVERGED
TIC 427332476,42,9.782595749970326,1.1217177706125427,651.530536967885,7.207003944662037,3,A,REJECT,SMALL_COOL_SECOND_LOOK,45,TIER2_SMALL_COOL_SECOND_LOOK,MCMC_CONVERGED
TIC 373513128,18,6.562398090298378,1.3783644467831524,856.14882124529,6.566776389481527,4,A,REJECT,SMALL_COOL_SECOND_LOOK,45,TIER2_SMALL_COOL_SECOND_LOOK,
TIC 354532520,17,9.956765640188245,0.7199786595598588,704.7444714272846,6.401414369732828,3,A,REJECT,SMALL_COOL_SECOND_LOOK,45,TIER2_SMALL_COOL_SECOND_LOOK,MCMC_CONVERGED
TIC 283858887,57,14.114608116800069,0.7229344672328794,769.1779179896932,5.690487137124583,3,A,REJECT,SMALL_COOL_SECOND_LOOK,45,TIER2_SMALL_COOL_SECOND_LOOK,
TIC 411524787,17,9.402575106652217,0.9740414589419476,743.091258027508,6.802849996611548,2,A,REJECT,SMALL_COOL_SECOND_LOOK,40,TIER2_SMALL_COOL_SECOND_LOOK,
