source_id,sector,period,planet_radius_rearth,equilibrium_temperature_k,snr_adopted,n_transits,candidate_class,discovery_priority,science_priority_bucket,science_priority_score,science_priority_reason
TIC 347299560,24,4.767362724798655,0.7291940451543587,859.8956968038264,10.804278558282869,6,A,FOLLOWUP,SMALL_COOL_CORE,95,followup; class A; snr>=10; multi-transit; small-cool-core
TIC 238432056,17,3.8473474971877732,2.1005441513178473,1048.7869055529106,28.399098464563668,7,C,WATCHLIST,SMALL_COOL_CORE,62,watchlist; class C; snr>=20; multi-transit; moderate odd-even mismatch; small-cool-core
TIC 352179145,17,11.439335471795898,2.05344126772776,512.6115374550749,18.873118515051548,3,C,WATCHLIST,SMALL_COOL_CORE,60,watchlist; class C; snr>=10; 3+ transits; small-cool-core
TIC 201778444,57,10.528676007642373,1.4968755301790837,763.8210884799968,8.982545317793111,3,A,REJECT,SMALL_COOL_CORE,60,class A; snr>=7.5; 3+ transits; small-cool-core
TIC 407423779,18,10.432053319583584,1.1280799028034092,683.3515008094397,8.22550840522952,3,A,REJECT,SMALL_COOL_CORE,60,class A; snr>=7.5; 3+ transits; small-cool-core
TIC 439949948,17,6.741638752115444,0.7609852432817136,559.0586091384658,7.9693993731543165,3,A,REJECT,SMALL_COOL_CORE,60,class A; snr>=7.5; 3+ transits; small-cool-core
TIC 22527304,17,11.741452117730994,2.100590583735589,741.6127265402422,11.880756500608376,2,C,WATCHLIST,SMALL_COOL_CORE,55,watchlist; class C; snr>=10; small-cool-core
TIC 373236404,18,11.360808390628222,1.9532936593783028,771.3063542091435,9.644858061164129,3,C,WATCHLIST,SMALL_COOL_CORE,55,watchlist; class C; snr>=7.5; 3+ transits; small-cool-core
TIC 405212176,42,10.187695278705608,2.1425581243679965,666.2993537376381,9.105348457949953,2,C,WATCHLIST,SMALL_COOL_CORE,50,watchlist; class C; snr>=7.5; small-cool-core
TIC 439946042,17,8.596382399585794,0.9790782087463893,797.7011918046511,7.452918378962293,3,A,REJECT,SMALL_COOL_SECOND_LOOK,45,class A; snr>=5.5; 3+ transits; small-cool-second-look
TIC 427332476,42,9.782595749970326,1.1217177706125427,651.530536967885,7.207003944662037,3,A,REJECT,SMALL_COOL_SECOND_LOOK,45,class A; snr>=5.5; 3+ transits; small-cool-second-look
TIC 373513128,18,6.562398090298378,1.3783644467831524,856.14882124529,6.566776389481527,4,A,REJECT,SMALL_COOL_SECOND_LOOK,45,class A; snr>=5.5; 3+ transits; small-cool-second-look
TIC 354532520,17,9.956765640188243,0.7199786595598588,704.7444714272846,6.401414369732828,3,A,REJECT,SMALL_COOL_SECOND_LOOK,45,class A; snr>=5.5; 3+ transits; small-cool-second-look
TIC 283858887,57,14.114608116800069,0.7229344672328794,769.1779179896932,5.690487137124583,3,A,REJECT,SMALL_COOL_SECOND_LOOK,45,class A; snr>=5.5; 3+ transits; small-cool-second-look
TIC 411524787,17,9.402575106652215,0.9740414589419477,743.091258027508,6.802849996611548,2,A,REJECT,SMALL_COOL_SECOND_LOOK,40,class A; snr>=5.5; small-cool-second-look
TIC 293360863,42,9.520888314095307,1.9458629989155232,604.5483940552657,6.779072375564365,3,C,WATCHLIST,SMALL_COOL_SECOND_LOOK,40,watchlist; class C; snr>=5.5; 3+ transits; small-cool-second-look
TIC 407459603,18,9.374806439198254,1.7044619890490849,879.3459940816197,5.899855009862623,3,C,WATCHLIST,SMALL_COOL_SECOND_LOOK,40,watchlist; class C; snr>=5.5; 3+ transits; small-cool-second-look
TIC 238393072,57,7.287726525408806,1.694769551813851,889.400264532305,5.566968961947289,4,A,REJECT,SMALL_COOL_SECOND_LOOK,37,class A; snr>=5.5; 3+ transits; moderate odd-even mismatch; small-cool-second-look
TIC 437739969,17,10.236173609295385,1.2322980932904155,623.0145015567427,6.541118004556851,2,C,WATCHLIST,SMALL_COOL_SECOND_LOOK,35,watchlist; class C; snr>=5.5; small-cool-second-look
TIC 405189795,42,10.162978184995614,1.8418372499180853,584.4054279751495,5.843320437055486,2,C,WATCHLIST,SMALL_COOL_SECOND_LOOK,35,watchlist; class C; snr>=5.5; small-cool-second-look
TIC 461590771,18,8.130527644560388,1.7512629579688823,604.5626551305397,6.069124080027972,3,C,WATCHLIST,SMALL_COOL_SECOND_LOOK,32,watchlist; class C; snr>=5.5; 3+ transits; moderate odd-even mismatch; small-cool-second-look
TIC 38380363,42,11.428046147147551,1.9471575862012234,661.8079956178987,6.269152836815891,2,C,WATCHLIST,SMALL_COOL_SECOND_LOOK,27,watchlist; class C; snr>=5.5; moderate odd-even mismatch; small-cool-second-look
