source_id,mission,instrument,sector,tic_id,stellar_radius,stellar_mass,stellar_teff,stellar_tmag,stellar_logg,stellar_ra,stellar_dec,bls_period,bls_power,bls_depth_ppm,tls_period,tls_sde,tls_snr,tls_odd_even_mismatch,cascade_status,cascade_confirmed,period,period_err,t0,duration_hours,depth,depth_ppm,rp_rs,rp_rs_err,impact_parameter,a_over_rs,inclination_deg,u1,u2,log_jitter,baseline,planet_radius_rearth,planet_radius_rjup,semi_major_axis_au,equilibrium_temperature_k,insolation_flux,stellar_density_gcm3,transit_depth_ppm,snr_adopted,snr_tls,snr_dutycycle,noise_ppm,cdpp_1hr_ppm,data_completeness,n_points,n_transits,residual_rms_ppm,transit_symmetry,timing_rms_min,fpp,is_false_positive,is_variable_star,is_binary_suspect,secondary_eclipse_depth_ppm,n_vetting_pass,n_vetting_fail,n_vetting_warn,vetting_flags,total_score,candidate_class,is_anomalous,anomaly_flags,fit_method,log_likelihood,r_hat_max,n_divergences,mcmc_converged,json_path,figure_dir,tid,novelty_status
TIC 357330064,TESS,TESS,57,357330064,1.51051,1.426,6711.0,8.1886,4.23394,1.43634714923199,17.8384293898838,0.8374861058322091,250.51256845416393,2679.491213366414,0.8375081141369054,12.861265049519913,91.75047629430932,21.19469138131535,confirmed,True,0.8376965526480382,0.0008375081141369054,2854.0882111109177,2.009363693257054,0.0036735207747460308,3673.520774746031,0.06491227818943539,0.0,0.0,2.7864408423264866,90.0,0.0,-1.0,-6.5247426566028786,0.9999915310363725,10.706927319829973,0.9541463933676041,0.01957622636989897,2600.0953172097143,10834.978605021623,0.5834838971011932,4213.60385974265,91.75047629430932,91.75047629430932,0.9713114902887635,1863.734692854144,1572.5633345530289,0.8251287307317771,17081,34,1568.7252526654447,0.9892167281751545,5.591540498162818e-09,0.23809523809523808,False,False,True,0.0,7,1,0,odd_even_mismatch,100.0,A,False,,map,86062.91298791677,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_357330064_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_357330064/figures,357330064,NOVEL_CANDIDATE
TIC 201744712,TESS,TESS,57,201744712,2.10452,1.04,5789.53,7.6144,3.80879,2.01954453390598,53.7962499557196,0.8698713202242145,100.07090827106875,533.1871939412425,0.869501043867612,10.729508026588341,61.440094955913516,0.8952845927218591,confirmed,True,0.8693827147971539,0.000869501043867612,2853.7191574405847,2.1791669658244195,0.000608543781411286,608.543781411286,0.02292649210596673,0.0,0.0,1.845776173085026,90.0,0.4039166746334784,0.047910193602824204,-8.373821322167661,1.000084885431325,5.2687193523429485,0.4695212190703425,0.01806271785976771,2756.341381572216,13683.68294364376,0.15734550150149046,525.6240402849548,61.440094955913516,61.440094955913516,0.5806719023352443,433.5797966032027,268.01037933454137,0.8685077931004178,17979,33,377.4319336554574,0.9776397910697727,4.643002237382831e-09,0.0,False,False,False,20.82585353246902,8,0,0,,100.0,A,False,,map,116201.91617987098,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_201744712_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_201744712/figures,201744712,NOVEL_CANDIDATE
TIC 405268435,TESS,TESS,42,405268435,1.87949,1.617,7213.0,7.79726,4.0987,0.765659818263004,8.27068436138412,1.1302355005825289,101.37654728017742,1484.7162675220015,1.1296205916310509,15.031582378632562,33.82691844497494,,confirmed,True,1.1301681252947366,0.0011296205916310508,2448.243617210019,1.293321587909114,0.0014529181698749172,1452.918169874917,0.03896332674961382,0.0,0.5175481987932193,2.8507510663903495,79.54005967489435,0.31428548467515344,0.2579536670903875,-7.154884990476042,1.0000351338202098,7.9966934559682725,0.712624265763636,0.024924705027649752,2762.6485854430202,13809.360357674932,0.3434552233350268,1518.1408313971722,33.82691844497494,33.82691844497494,0.4666333380050717,932.5007171149626,441.93489069910146,0.6458345991857636,10708,20,860.7457296930578,0.9845707088812401,7.022335750871024e-10,0.014285714285714285,False,False,False,0.0,7,0,1,,100.0,A,False,,map,60380.25866354052,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_405268435_S42.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_405268435/figures,405268435,NOVEL_CANDIDATE
TIC 326682209,TESS,TESS,57,326682209,1.14755,1.09,5965.0,7.2731,4.35595,1.9670231497224,55.5770423444705,14.109682399392126,38.73421721789387,678.8342903063516,14.133447236601423,7.854927018645436,24.114892742708037,4.853347913377817,confirmed,True,16.523799524489437,0.014133447236601423,2863.2495410162755,5.425026532123482,0.0006184853976289872,618.4853976289872,0.01621902656158789,0.0,0.9667642888393715,22.063624508905885,87.48866041630424,0.3152283371275678,0.4424115055814801,-8.074265002857603,1.0000055837936837,2.0324075549557215,0.1811177269152199,0.1306712649235876,779.6701836865803,87.60213409615578,1.0171659410923535,263.05682260549344,24.114892742708037,24.114892742708037,0.21028389821465018,400.7761234793962,148.74201360542148,0.8685078074113433,17979,2,400.67453782479265,0.9894079604920365,0.0,0.2631578947368421,False,False,True,52.33065943510695,6,1,0,odd_even_mismatch,100.0,A,False,,map,115132.57657935157,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_326682209_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_326682209/figures,326682209,NOVEL_CANDIDATE
TIC 395321135,TESS,TESS,83,395321135,2.44447,1.402,6654.0,6.95515,3.80845,1.17193722294838,14.9652338604104,2.547601756252157,28.407259664010514,166.84899830177181,2.5506431676629693,0.7581824561447961,21.69027687023153,0.0778049642538136,confirmed,True,2.5582162447379666,0.0025506431676629695,3560.8526652286573,6.395414307719103,0.00015442134625009984,154.42134625009984,0.012077269858844077,0.0,0.0,3.597261456327052,90.0,0.17924456982503784,0.4130091611109514,-8.756541930014915,1.0000141908008924,3.2237984372517747,0.2872883657434546,0.04097372898230973,2266.872657925173,6260.074165781478,0.13535491867098626,145.86044724334363,21.69027687023153,21.69027687023153,0.1936728799987393,268.9078597678963,92.82874111783413,0.9658224631259729,17323,10,265.0130729411956,0.9889345191304814,1.0957505202978325e-09,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,118087.02249563158,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_395321135_S83.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_395321135/figures,395321135,NOVEL_CANDIDATE
TIC 439951000,TESS,TESS,17,439951000,1.62658,1.753,7561.0,8.13098,4.2593,1.42019300407865,44.4686739568385,0.4219141418023768,51.898100336695165,402.6886732625412,0.8435192054949988,10.36242346236444,20.343102267074656,0.2862985625536502,confirmed,True,0.8436522746449802,0.0008435192054949989,1765.2116441951248,1.8679816536035647,0.00035416879007144075,354.16879007144075,0.018286037974720313,0.0,0.0,2.7851981754191493,90.0,0.31942829419083535,0.4366656973901855,-7.8158313657751535,1.0000563335812596,3.2479508128322143,0.28944070145686285,0.02107014920097434,2930.136576413302,17475.21132956541,0.5744282575266286,334.3791848129133,20.343102267074656,20.343102267074656,0.21676646053465984,566.251209658412,242.0602956895934,0.7794111028168969,13077,28,553.5392692716222,0.9919197564227342,2.5042668651986822e-09,0.23809523809523808,False,False,False,357.54149897027077,7,1,0,secondary_eclipse,100.0,A,False,,map,79509.88438925853,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439951000_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439951000/figures,439951000,NOVEL_CANDIDATE
TIC 352146741,TESS,TESS,17,352146741,0.92208,0.98,5569.0,8.1477,4.49976,0.515460883155613,37.1144432850526,5.044093165194522,16.66996705799149,254.49478335493046,5.002815466803693,2.958090145911077,12.23799555851196,0.7694115097425294,confirmed,True,5.002255216470168,0.005002815466803693,1767.1200364751894,3.6063746217827006,0.00031007893731416214,310.07893731416215,0.00791795965752587,0.0,0.35376509537889833,13.261439044869762,88.47138371568217,0.21356961944301955,0.010110575279878704,-8.051582240539007,1.0000083339340156,0.7972532258784599,0.07104711439142378,0.056861359641787804,989.1396613415776,226.93498109620253,1.7627894096695385,62.694085138207186,12.23799555851196,12.23799555851196,0.12797323662933502,500.84550348804095,122.64238829566405,0.780006864558149,13087,5,500.8205576852012,0.9877161256753794,0.0,0.02857142857142857,False,False,False,0.0,7,0,1,,100.0,A,False,,map,80882.10764295071,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_352146741_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_352146741/figures,352146741,NOVEL_CANDIDATE
TIC 347299560,TESS,TESS,24,347299560,0.822076,0.8,4878.0,8.1797,4.51133,1.46007362197156,56.5002243832995,14.203495220748497,19.9292573769662,717.1405815888932,4.738980447569755,7.291311934159032,10.804278558282869,1.3622875533570336,confirmed,True,4.767362724798655,0.004738980447569755,1955.575820267172,3.9110517560469287,0.00032634667260822425,326.34667260822425,0.00812300547014314,0.0,1.0023923122533585,13.40856223254769,85.71270366246893,0.5285020585028148,-0.14563603424031324,-7.5220459313067956,0.9999957486342305,0.7291940451543587,0.06498202962119425,0.05146517387182427,859.8956968038264,129.61464778494678,2.030646105024197,65.98321786797538,10.804278558282869,10.804278558282869,0.09741086690819464,688.6293393891956,205.65229128106282,0.9006999668822193,17170,6,688.6371016823957,0.9961471651227511,2.3151955358767474e-10,0.02857142857142857,False,False,False,0.0,7,0,1,,100.0,A,False,,map,100627.83729459696,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_347299560_S24.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_347299560/figures,347299560,NOVEL_CANDIDATE
TIC 282721706,TESS,TESS,57,282721706,1.63713,1.783,7637.0,8.34015,4.26105,1.88044910777594,24.3212065401314,0.3538496825214651,21.405659702060216,153.87143355649613,0.7080558381319516,10.201836193180636,10.76642346005236,0.6150485052637179,confirmed,True,0.7064615731199552,0.0007080558381319516,2854.0110035809116,1.508121804662795,0.0001657479825848407,165.74798258484068,0.011541221675939897,0.0,0.7051240861648326,2.476394670554871,73.45680162375415,0.18638989388773522,-0.033114892812939785,-7.884893539786646,1.0000155903332648,2.0632380952111147,0.18386518637875585,0.018825251839474515,3141.222457946961,23081.59182107164,0.5730361313588851,133.1997977731849,10.76642346005236,10.76642346005236,0.0922527993571595,564.5095977300031,163.51035700206202,0.868508102128451,17979,40,562.9235570986469,0.9867171055730454,7.0823795433680045e-09,0.23809523809523808,False,False,False,121.14597198775724,7,1,0,secondary_eclipse,100.0,A,False,,map,109014.56116825754,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_282721706_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_282721706/figures,282721706,NOVEL_CANDIDATE
TIC 439949948,TESS,TESS,17,439949948,0.61088,0.61,3947.0,7.4218,4.65149,1.42084507877455,45.8103759730057,13.432545592665582,15.395588019243053,550.7238590236607,6.7198919810645,4.024779863534333,7.9693993731543165,,confirmed,True,6.741638752115444,0.006719891981064501,1767.9826196909917,1.4125353905163567,0.0005883174971367255,588.3174971367256,0.011407905900717719,0.0,0.33709685869619427,20.80669690908717,89.07168963814225,0.3874789467296425,0.13324389418959715,-7.539557742431018,1.000010377043541,0.7609852432817136,0.0678150979822609,0.059235889492045266,559.0586091384658,23.157962187468975,3.773481964618608,130.14031703963013,7.9693993731543165,7.9693993731543165,0.08877284557912359,653.9697860554218,160.46104695467878,0.7798879466124904,13085,3,653.8180529809633,0.972937024022885,1.8903492392224985e-10,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,77380.5994582484,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439949948_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439949948/figures,439949948,NOVEL_CANDIDATE
