source_id,mission,instrument,sector,tic_id,stellar_radius,stellar_mass,stellar_teff,stellar_tmag,stellar_logg,stellar_ra,stellar_dec,bls_period,bls_power,bls_depth_ppm,tls_period,tls_sde,tls_snr,tls_odd_even_mismatch,cascade_status,cascade_confirmed,period,period_err,t0,duration_hours,depth,depth_ppm,rp_rs,rp_rs_err,impact_parameter,a_over_rs,inclination_deg,u1,u2,log_jitter,baseline,planet_radius_rearth,planet_radius_rjup,semi_major_axis_au,equilibrium_temperature_k,insolation_flux,stellar_density_gcm3,transit_depth_ppm,snr_adopted,snr_tls,snr_dutycycle,noise_ppm,cdpp_1hr_ppm,data_completeness,n_points,n_transits,residual_rms_ppm,transit_symmetry,timing_rms_min,fpp,is_false_positive,is_variable_star,is_binary_suspect,secondary_eclipse_depth_ppm,n_vetting_pass,n_vetting_fail,n_vetting_warn,vetting_flags,total_score,candidate_class,is_anomalous,anomaly_flags,fit_method,log_likelihood,r_hat_max,n_divergences,mcmc_converged,json_path,figure_dir,tid,novelty_status
TIC 326682209,TESS,TESS,57,326682209,1.14755,1.09,5965.0,7.2731,4.35595,1.9670231497224,55.5770423444705,14.109682399392126,38.73421721789387,678.8342903063516,14.133447236601423,7.854927018645436,24.114892742708037,4.853347913377817,confirmed,True,16.523799524489437,0.014133447236601423,2863.2495410162755,5.425026532123482,0.0006184853976289872,618.4853976289872,0.01621902656158789,0.0,0.9667642888393715,22.063624508905885,87.48866041630424,0.3152283371275678,0.4424115055814801,-8.074265002857603,1.0000055837936837,2.0324075549557215,0.1811177269152199,0.1306712649235876,779.6701836865803,87.60213409615578,1.0171659410923535,263.05682260549344,24.114892742708037,24.114892742708037,0.21028389821465018,400.7761234793962,148.74201360542148,0.8685078074113433,17979,2,400.67453782479265,0.9894079604920365,0.0,0.2631578947368421,False,False,True,52.33065943510695,6,1,0,odd_even_mismatch,100.0,A,False,,map,115132.57657935157,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_326682209_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_326682209/figures,326682209,NOVEL_CANDIDATE
TIC 373062137,TESS,TESS,18,373062137,0.919111,1.064,5876.0,10.4682,4.53827,0.438759432731815,74.4120817577702,22.872671814927685,27.451673820716433,4659.658914447528,11.528279757526013,8.548304710614033,23.0723408523693,,confirmed,True,11.552227335714395,0.011528279757526013,1791.3924980469633,2.1889135590659343,0.003274788962782882,3274.7889627828818,0.05980919562113246,0.0,0.29525112276228255,23.855937668482703,89.2908652191469,1.0,0.1384740728586192,-7.640052029830002,1.0000205408369425,6.002750929572936,0.5349343447142222,0.10210703804107114,777.5756409257656,86.66456663178904,1.9324928701471478,3577.1398808468903,23.0723408523693,23.0723408523693,0.21925544724171142,1422.821159225964,546.1464912940907,0.8829500230614148,14981,2,1392.396430298949,0.9945766167549299,0.0,0.0,False,False,False,0.0,7,0,0,,100.0,A,False,,map,77269.9770780558,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_373062137_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_373062137/figures,373062137,NOVEL_CANDIDATE
TIC 373150643,TESS,TESS,18,373150643,0.714477,0.937,5395.0,10.516,4.70183,1.69810300354861,73.9485272605218,23.06673852286133,18.66501988611645,4651.365220650794,11.666006868616156,8.172283286013188,17.376703236164545,,confirmed,True,11.651353699709428,0.011666006868616156,1791.4005851596457,1.8232762787102783,0.0027665294848867594,2766.5294848867593,0.05471290813131826,0.0,0.3037893754900413,29.64926992442286,89.41293145878416,1.0,0.17377905571965194,-7.624385501280007,1.0000200646863993,4.26866870693255,0.38040183981238845,0.09843029171397782,641.1001912012457,40.047425971315306,3.6228887339126215,2993.5023161860718,17.376703236164545,17.376703236164545,0.14655634811478208,1613.6119028024132,398.9427613778894,0.8892621317056588,15121,2,1596.1092999409136,0.9940933326667345,0.0,0.0,False,False,False,27.846095975281315,7,0,0,,100.0,A,False,,map,75929.26442805764,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_373150643_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_373150643/figures,373150643,NOVEL_CANDIDATE
TIC 347299560,TESS,TESS,24,347299560,0.822076,0.8,4878.0,8.1797,4.51133,1.46007362197156,56.5002243832995,14.203495220748497,19.9292573769662,717.1405815888932,4.738980447569755,7.291311934159032,10.804278558282869,1.3622875533570336,confirmed,True,4.767362724798655,0.004738980447569755,1955.575820267172,3.9110517560469287,0.00032634667260822425,326.34667260822425,0.00812300547014314,0.0,1.0023923122533585,13.40856223254769,85.71270366246893,0.5285020585028148,-0.14563603424031324,-7.5220459313067956,0.9999957486342305,0.7291940451543587,0.06498202962119425,0.05146517387182427,859.8956968038264,129.61464778494678,2.030646105024197,65.98321786797538,10.804278558282869,10.804278558282869,0.09741086690819464,688.6293393891956,205.65229128106282,0.9006999668822193,17170,6,688.6371016823957,0.9961471651227511,2.3151955358767474e-10,0.02857142857142857,False,False,False,0.0,7,0,1,,100.0,A,False,,map,100627.83729459696,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_347299560_S24.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_347299560/figures,347299560,NOVEL_CANDIDATE
TIC 201778444,TESS,TESS,57,201778444,0.929773,0.95,5460.0,9.5194,4.47904,2.21948306641324,53.2132477084754,10.672304447353872,11.915091703822199,1006.7858815332453,10.679021693507126,4.340157108378451,8.982545317793111,,confirmed,True,10.528676007642373,0.010679021693507127,2851.7905729181452,1.931291167783076,0.0006846343482083128,684.6343482083128,0.014743288372613905,0.0,0.7061649124636148,21.578743781714575,88.12465940170584,0.43420475954943816,0.30387744843368253,-8.106841358180274,1.0000153594317058,1.4968755301790837,0.13339386228908048,0.09242476617834626,763.8210884799968,80.69331559773556,1.6667596484690532,217.36455203805238,8.982545317793111,8.982545317793111,0.07783721559923812,860.0812463204752,244.69132508852599,0.8685079302270856,17979,3,859.8684881752279,0.9506395742248023,3.780698478444997e-10,0.0,False,False,False,16.691711628880057,8,0,0,,100.0,A,False,,map,101399.34335000608,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_201778444_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_201778444/figures,201778444,NOVEL_CANDIDATE
TIC 439949948,TESS,TESS,17,439949948,0.61088,0.61,3947.0,7.4218,4.65149,1.42084507877455,45.8103759730057,13.432545592665582,15.395588019243053,550.7238590236607,6.7198919810645,4.024779863534333,7.9693993731543165,,confirmed,True,6.741638752115444,0.006719891981064501,1767.9826196909917,1.4125353905163567,0.0005883174971367255,588.3174971367256,0.011407905900717719,0.0,0.33709685869619427,20.80669690908717,89.07168963814225,0.3874789467296425,0.13324389418959715,-7.539557742431018,1.000010377043541,0.7609852432817136,0.0678150979822609,0.059235889492045266,559.0586091384658,23.157962187468975,3.773481964618608,130.14031703963013,7.9693993731543165,7.9693993731543165,0.08877284557912359,653.9697860554218,160.46104695467878,0.7798879466124904,13085,3,653.8180529809633,0.972937024022885,1.8903492392224985e-10,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,77380.5994582484,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439949948_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439949948/figures,439949948,NOVEL_CANDIDATE
TIC 439946042,TESS,TESS,17,439946042,0.85807,0.99,5586.0,9.0362,4.56666,1.23907192012504,45.6748067955156,8.550842872742281,16.33465873527817,321.58245217039916,8.540646136378415,3.040103428733683,7.452918378962293,,confirmed,True,8.596382399585794,0.008540646136378414,1769.3485335733187,1.6296329576858162,0.0003549456221753067,354.94562217530665,0.010449133263142696,0.0,0.9166251603281719,20.42476522396285,87.42780895147607,0.642371380181286,-0.05129434732311449,-7.956140456489076,1.0000065177656836,0.9790782087463893,0.08725042337496848,0.08185656826588358,797.7011918046511,95.9913159007019,2.2097706615624197,109.18438595091513,7.452918378962293,7.452918378962293,0.0882144560689854,425.5318784336622,113.65931970152137,0.7791727151119319,13073,3,425.52447078067473,0.9740981788442344,0.0,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,82924.5118149361,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439946042_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439946042/figures,439946042,NOVEL_CANDIDATE
TIC 373150657,TESS,TESS,18,373150657,0.794436,0.82,4986.0,9.2822,4.55176,1.64648644844857,73.9393644539257,0.3109829962973676,16.313115352393766,195.43717477144008,0.6228899874238611,6.091079922414728,4.003536218635779,0.3276293787881078,confirmed,True,0.6342449249070268,0.0006228899874238612,1791.0572162104854,0.116113912430934,0.0002042536289900143,204.2536289900143,0.013333747270274973,0.0,0.9260654686272068,3.6165475195965806,75.16339403541872,0.47977761358934967,-0.30944707171090585,-7.542425349791283,1.0000176622163723,1.1567127789116565,0.10308030429203496,0.013523027639354377,1685.5804341938,1913.6781905074722,2.3063078008151447,177.78881626756527,4.003536218635779,4.003536218635779,0.019530727790454505,907.6377551000472,223.8250882372131,0.8892621553274136,15121,38,907.1472735616336,0.97475237604098,9.045027151073996e-10,0.23809523809523808,False,False,False,166.6503022598187,7,1,0,secondary_eclipse,100.0,A,False,,map,84470.40370321625,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_373150657_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_373150657/figures,373150657,NOVEL_CANDIDATE
TIC 388637626,TESS,TESS,18,388637626,0.880214,1.05,5830.0,10.396,4.57008,2.04479520537834,82.8659803885828,10.958840981411347,72.4261151907144,8388.210872916636,11.239312089248346,9.924815306482683,49.39310577862996,,period_mismatch,False,11.239312089248346,inf,1791.4401568720575,2.2198550498019105,0.008836145108396476,8836.145108396477,0.08453539114723282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.125334270714365,0.7240880747317353,0.09981310622038536,763.6135429637648,80.60564736563886,2.171224082141792,7146.23235641565,49.39310577862996,49.39310577862996,0.5902390638217745,1678.1353316672069,1119.50949518103,0.8262556813318462,13406,2,0.0,0.9834223288122487,0.0,0.0,False,False,False,0.0,7,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_388637626_S18.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_388637626/figures,388637626,NOVEL_CANDIDATE
TIC 238432056,TESS,TESS,17,238432056,0.889627,0.96,5489.0,5.3971,4.52192,1.6532670438182,29.0215028909291,13.003978595327686,123.37451462258512,1017.4989854419003,3.8473474971877732,8.204908593279377,28.399098464563668,1.9791000418230436,period_mismatch,False,3.8473474971877732,0.03579046652540052,1764.8082981674113,2.753838758840328,0.0005781022081057241,578.1022081057241,0.02162267700368075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1005441513178473,0.18718971056965822,0.04740556620686244,1048.7869055529106,286.82698462295696,1.9227708579780365,467.54016080550434,28.399098464563668,28.399098464563668,0.32173873855988394,434.6681401439673,302.61931101264344,0.7701055921239893,13021,7,0.0,0.8827991732866568,4.630391071753495e-10,0.0,False,False,False,0.0,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_238432056_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_238432056/figures,238432056,NOVEL_CANDIDATE
