source_id,mission,instrument,sector,tic_id,stellar_radius,stellar_mass,stellar_teff,stellar_tmag,stellar_logg,stellar_ra,stellar_dec,bls_period,bls_power,bls_depth_ppm,tls_period,tls_sde,tls_snr,tls_odd_even_mismatch,cascade_status,cascade_confirmed,period,period_err,t0,duration_hours,depth,depth_ppm,rp_rs,rp_rs_err,impact_parameter,a_over_rs,inclination_deg,u1,u2,log_jitter,baseline,planet_radius_rearth,planet_radius_rjup,semi_major_axis_au,equilibrium_temperature_k,insolation_flux,stellar_density_gcm3,transit_depth_ppm,snr_adopted,snr_tls,snr_dutycycle,noise_ppm,cdpp_1hr_ppm,data_completeness,n_points,n_transits,residual_rms_ppm,transit_symmetry,timing_rms_min,fpp,is_false_positive,is_variable_star,is_binary_suspect,secondary_eclipse_depth_ppm,n_vetting_pass,n_vetting_fail,n_vetting_warn,vetting_flags,total_score,candidate_class,is_anomalous,anomaly_flags,fit_method,log_likelihood,r_hat_max,n_divergences,mcmc_converged,json_path,figure_dir,tid,novelty_status,discovery_priority,discovery_reason,science_priority_bucket,science_priority_score,science_priority_reason
TIC 405268435,TESS,TESS,42,405268435,1.87949,1.617,7213.0,7.79726,4.0987,0.765659818263004,8.27068436138412,1.1302355005825289,101.37654728017742,1484.7162675220015,1.1296205916310509,15.031582378632562,33.82691844497494,,confirmed,True,1.1301681252947366,0.0011296205916310508,2448.243617210019,1.293321587909114,0.0014529181698749172,1452.918169874917,0.03896332674961382,0.0,0.5175481987932193,2.8507510663903495,79.54005967489435,0.31428548467515344,0.2579536670903875,-7.154884990476042,1.0000351338202098,7.9966934559682725,0.712624265763636,0.024924705027649752,2762.6485854430202,13809.360357674932,0.3434552233350268,1518.1408313971722,33.82691844497494,33.82691844497494,0.4666333380050717,932.5007171149626,441.93489069910146,0.6458345991857636,10708,20,860.7457296930578,0.9845707088812401,7.022335750871024e-10,0.014285714285714285,False,False,False,0.0,7,0,1,,100.0,A,False,,map,60380.25866354052,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_405268435_S42.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_405268435/figures,405268435,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,50,class A; snr>=20; multi-transit
TIC 359124667,TESS,TESS,17,359124667,3.73833,1.595,7151.0,8.01439,3.49547,1.21028711352273,65.8415481136058,0.4094219759623044,20.741925313962486,123.16726798722311,1.5993299185423329,0.18262898904058866,11.584776002231838,0.26828756930477904,period_mismatch,False,1.5993299185423329,inf,1764.9542772887871,3.7468022997947,0.0001334531877025258,133.45318770252578,0.010388949203572887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.240954929412528,0.37793213024236577,0.03127353117017003,3448.4334766406364,33524.197576982944,0.04305344849267748,107.93026555441773,11.584776002231838,11.584776002231838,0.10170232781706402,446.33998695533484,192.63196908835283,0.8671673939080567,14584,15,0.0,0.9770032854549437,9.675929436038787e-10,0.07142857142857142,False,False,False,48.05131570251309,7,0,1,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_359124667_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_359124667/figures,359124667,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,40,watchlist; class C; snr>=10; multi-transit
TIC 301788593,TESS,TESS,57,301788593,2.3607,1.79,7660.0,9.0749,3.94484,1.98865682553429,18.6309441604269,0.760437614855211,70.02318552534312,1994.45024427225,0.6515075937054775,12.902359958234898,10.914110343390357,0.39539825014036845,period_mismatch,False,0.6515075937054775,0.0012384935979706801,2853.376964804065,1.5980083578634656,0.000426275451041791,426.275451041791,0.018567451926154232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.786383651432066,0.4265379377171389,0.017859199254901682,3884.3906079680164,53971.26074619027,0.1918716430881474,344.7502710300485,10.914110343390357,10.914110343390357,0.07348314377154361,1976.8117369059344,719.6324154289769,0.8685081984407941,17979,45,0.0,0.981447453407189,1.1795132961799066e-09,0.23809523809523808,False,False,False,546.7227642862449,7,1,0,secondary_eclipse,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_301788593_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_301788593/figures,301788593,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,40,watchlist; class C; snr>=10; multi-transit
TIC 432548844,TESS,TESS,17,432548844,0.937681,1.02,5735.0,8.5313,4.50256,0.149858436685007,36.6687659725271,13.044074804120386,42.51979889189361,1264.876685490246,11.545397255930947,3.180549975551207,16.288480757413076,,period_mismatch,False,11.545397255930947,0.065630913447837,1764.7459505565619,2.068401758201236,0.0015485911535713104,1548.5911535713103,0.03538959021309511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.623640026551415,0.3229201953947164,0.10064000016456978,772.1121435546106,84.2543851155269,1.7446768047835541,1252.423095450797,16.288480757413076,16.288480757413076,0.18903690626700972,992.5813185263669,358.11319988724625,0.7800069995137835,13087,3,0.0,0.940660597283393,0.0,0.0,False,False,False,74.34559687546916,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_432548844_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_432548844/figures,432548844,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,35,watchlist; class C; snr>=10; 3+ transits
TIC 408505170,TESS,TESS,42,408505170,1.15593,0.917,5321.09,9.83386,4.27457,0.421780556646862,10.6128608291422,13.510731311567273,23.079114813308625,1892.5335860928706,11.31009889031207,4.615793917506786,14.88531439757954,,period_mismatch,False,11.31009889031207,0.08251840766653462,2447.7854689747774,1.7627592970560126,0.0016273531234344274,1627.3531234344273,0.03627839355012282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5792460682173814,0.408078899745607,0.09580732128692808,815.2142083606976,104.70271495508173,0.8372494942675442,1316.1218385775933,14.88531439757954,14.88531439757954,0.1828361958549356,1077.0256336673986,434.4055734079516,0.6674472576380859,11063,3,0.0,0.9424218396363331,0.0,0.014285714285714285,False,False,False,0.0,7,0,1,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_408505170_S42.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_408505170/figures,408505170,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,35,watchlist; class C; snr>=10; 3+ transits
TIC 293223917,TESS,TESS,70,293223917,0.898067,0.982,5569.0,9.9487,4.52356,1.61606071052016,1.92137106610819,18.778361354217026,12.30319363810457,1130.2364858818414,9.391193406098047,4.158187554177586,7.975186157609289,,confirmed,True,9.369874230700168,0.009391193406098047,3209.224411453668,2.733686284918107,0.0012345259162519495,1234.5259162519494,0.032578346499481846,0.0,0.0,20.734004508866335,90.0,0.0,-1.0,-6.84939413595714,1.000041623249067,3.1948625209590937,0.2847097454404743,0.08646180969050461,791.6334621883104,93.10383184628371,1.9119011600434692,1061.348660640301,7.975186157609289,7.975186157609289,0.09058762490010214,1788.0937299477087,507.91198161321586,0.8410165121234615,14669,3,1784.2281340919374,0.9924699110302329,0.0,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,72035.05940342002,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_293223917_S70.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_293223917/figures,293223917,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,35,class A; snr>=7.5; 3+ transits
TIC 380157341,TESS,TESS,84,380157341,1.69243,1.563,7065.9,8.78427,4.17501,0.200469986083706,19.5844750740737,0.7749759283439648,124.88446166366414,1229.3534382539217,6.193150583583123,1.422876683305179,23.885089010981286,2.8777582753392763,period_mismatch,False,6.193150583583123,0.050055006359509324,3590.776393449926,4.682800549215294,0.0022306527299151835,2230.6527299151835,0.042473996695847976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.849612935926478,0.6995172049290493,0.07659940630415477,1464.9232088610258,1091.7681487964796,0.45468119912629373,1804.0403953189048,23.885089010981286,23.885089010981286,0.2740070816929237,1590.3675545835115,1481.1455093163186,0.7983180555773789,14796,4,0.0,0.9987301029713287,4.630391071753495e-10,0.07142857142857142,False,False,False,255.52932002648188,7,0,1,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_380157341_S84.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_380157341/figures,380157341,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,32,watchlist; class C; snr>=20; 3+ transits; moderate odd-even mismatch
TIC 201867995,TESS,TESS,17,201867995,1.66865,1.531,6977.0,8.59866,4.17831,2.7674924641228,49.5586578209411,0.36174798753248183,226.49758704146385,2041.0929516032627,9.36864424318301,4.221308656095507,23.38977590481252,,period_mismatch,False,9.36864424318301,0.04326679941374412,1768.1673884803554,2.248327714170284,0.006657438922102132,6657.438922102132,0.07337713355160516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.370276642418201,1.1914904113585627,0.10024765285951918,1255.5064839086037,589.0427584987583,0.4646860083089832,5384.2037282501,23.38977590481252,23.38977590481252,0.3119157392426479,2779.7073367249923,2633.859656978676,0.7740203311585246,12824,3,0.0,0.9880590468427016,1.8903492392224985e-10,0.0,False,False,False,47.41182859491211,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_201867995_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_201867995/figures,201867995,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,30,class C; snr>=20; 3+ transits
TIC 201524325,TESS,TESS,57,201524325,2.34331,1.7,7427.0,9.2577,3.92886,1.06296521162117,50.455886919654,0.801857144097269,219.90303641900647,6942.064499424694,0.6048846438669531,0.18695230401822951,12.83990552297394,0.10918497377751887,period_mismatch,False,0.6048846438669531,0.0015688458243490744,2853.672521073152,1.4981715120693115,0.0012363448885758244,1236.3448885758244,0.03162109942167884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.091352279796101,0.7210597741646751,0.016706904791107115,3879.5827094800807,53704.54506844542,0.18631157943162766,999.8939286356976,12.83990552297394,12.83990552297394,0.08837965430397784,4862.545515563747,2453.042537313433,0.8685077428343602,17979,48,0.0,0.9940406859657807,5.0254499888292615e-09,0.23809523809523808,False,False,False,1364.826010012643,7,1,0,secondary_eclipse,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_201524325_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_201524325/figures,201524325,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,LOW_PRIORITY,30,class C; snr>=10; multi-transit
TIC 83957915,TESS,TESS,17,83957915,1.09287,1.163,6138.22,9.85613,4.42651,0.348199556815791,30.8280166645128,15.230520829449558,15.570005931526481,1201.5402663384523,10.36850933576724,3.480990873846346,8.40267624437634,,period_mismatch,False,10.36850933576724,0.05028505469167044,1767.097636884137,2.9951933937172366,0.0010235087093238837,1023.5087093238837,0.02877086492731303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4334902687208335,0.3059750252059032,0.09786681121467201,904.7189775565095,158.82753022168458,1.2564764848273968,827.762668665691,8.40267624437634,8.40267624437634,0.0976245594349926,1508.6143497825992,412.37120657223284,0.7695326459558218,13009,3,0.0,0.98724342083706,1.8903492392224985e-10,0.0,False,False,False,3.743645337950241,8,0,0,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_83957915_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_83957915/figures,83957915,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,30,watchlist; class C; snr>=7.5; 3+ transits
