tid,source_id,sector,sector_count,sector_list,pool_priority_score,verified_priority_score,st_tmag,st_teff,st_rad,ra,dec,exotic_target_theme,exotic_target_score,exotic_target_reason,estimated_luminosity_lsun,estimated_mass_msun,hz_center_au,hz_center_period_days,sector_count_resolved
439949946,TIC 439949946,17,3,"17,57,84",44.96421,68.96421000000001,7.3776,3959.0,0.620039,1.42092453196458,45.8120958899851,TEMPERATE_SMALL_HOST,69.5,Small/cool star with comparatively accessible HZ.,0.08508925704664,0.6350355771120777,0.2917006291502301,72.20998336403969,3
352179145,TIC 352179145,17,3,"17,57,84",42.88934666666667,66.88934666666667,7.543,4017.0,0.713032,4.27655780322779,40.9482969968157,TEMPERATE_SMALL_HOST,69.5,Small/cool star with comparatively accessible HZ.,0.119266940605654,0.7251929440206261,0.3453504605551498,87.04693803126993,3
461408984,TIC 461408984,17,6,"17,18,24,25,52,58",37.49276333333333,85.49276333333333,9.4702,3835.0,0.633477,3.29810861538546,70.397958115024,TEMPERATE_SMALL_HOST,68.0,Small/cool star with comparatively accessible HZ.,0.0782020046694621,0.6481034133825323,0.2796462134009008,67.09366019550691,6
357370384,TIC 357370384,57,1,57,40.16079333333333,48.16079333333333,9.05277,3805.0,0.558646,2.11366444469788,17.4242931801397,TEMPERATE_SMALL_HOST,68.0,Small/cool star with comparatively accessible HZ.,0.0589368257548152,0.5751483243110718,0.2427690790747768,57.60900197051111,1
150816111,TIC 150816111,57,1,57,35.950873333333334,43.95087333333333,10.0719,3877.0,0.511986,3.13963484024442,21.7134413515699,TEMPERATE_SMALL_HOST,65.75,Small/cool star with comparatively accessible HZ.,0.053357329524248,0.5294137068865977,0.230992055110664,55.72989156974034,1
437745749,TIC 437745749,17,1,17,32.58408,40.58408,10.8678,3866.0,0.539472,3.52526128267241,27.8429613097959,TEMPERATE_SMALL_HOST,65.75,Small/cool star with comparatively accessible HZ.,0.0585706341585272,0.5563786586699954,0.2420137065509456,58.29951444880093,1
150970759,TIC 150970759,57,1,57,32.97719333333333,40.97719333333333,10.7534,3853.0,0.556754,5.38270308135094,19.5736418718855,TEMPERATE_SMALL_HOST,65.75,Small/cool star with comparatively accessible HZ.,0.0615484950376062,0.5732976725021244,0.2480896915182213,59.60918910511114,1
440056119,TIC 440056119,17,1,17,32.77320666666667,40.77320666666667,10.837,3819.0,0.572046,3.67536681689479,46.5684731792872,TEMPERATE_SMALL_HOST,65.75,Small/cool star with comparatively accessible HZ.,0.062712664055361,0.5882465726784413,0.250424966916961,59.67974508898932,1
320049266,TIC 320049266,17,3,"17,18,24",33.02997,57.02997,10.1497,3977.0,0.689623,7.35480708677267,57.485819066098,TEMPERATE_SMALL_HOST,62.75,Small/cool star with comparatively accessible HZ.,0.1071866133311248,0.702556329150545,0.327393667212921,81.63098955756605,3
407120936,TIC 407120936,24,3,"24,25,52",34.46686,58.46686,10.1332,3893.0,0.622534,5.91276920585682,71.3832381468499,TEMPERATE_SMALL_HOST,62.75,Small/cool star with comparatively accessible HZ.,0.0801970653475936,0.6374629113108722,0.2831908638137778,68.94164170084738,3
407393440,TIC 407393440,18,4,"18,19,24,25",32.77931333333333,64.77931333333333,10.4128,4009.0,0.582782,5.02195853251869,76.1291151140325,TEMPERATE_SMALL_HOST,62.75,Small/cool star with comparatively accessible HZ.,0.0790407758208932,0.5987297292212073,0.281141914023671,70.36605588024294,4
468869378,TIC 468869378,42,2,"42,43",36.13275,52.13275,9.81829,3803.0,0.656909,2.76922655446015,5.20897286095037,TEMPERATE_SMALL_HOST,62.0,Small/cool star with comparatively accessible HZ.,0.0813224465844439,0.6708569932496704,0.2851709076754569,67.90989763831341,2
405226902,TIC 405226902,42,2,"42,43",31.967893333333333,47.967893333333336,10.193,4114.0,0.664344,4.34774800075438,11.4225363495895,TEMPERATE_SMALL_HOST,59.75,Small/cool star with comparatively accessible HZ.,0.11390371628347,0.6780681825932383,0.3374962463250073,86.96749519854666,2
403308552,TIC 403308552,17,2,"17,24",34.35047,50.35047,10.407,3821.0,0.584653,5.26792315932858,55.7331274246793,TEMPERATE_SMALL_HOST,59.75,Small/cool star with comparatively accessible HZ.,0.0656446332122728,0.6005556724344207,0.2562120863899142,61.12417458017404,2
406767163,TIC 406767163,17,2,"17,24",31.44130333333333,47.44130333333333,10.6736,3967.0,0.647263,4.95559902170607,54.6970963384594,TEMPERATE_SMALL_HOST,59.75,Small/cool star with comparatively accessible HZ.,0.0934770667033715,0.6614952693847969,0.3057401947787885,75.91990572443324,2
257305725,TIC 257305725,42,2,"42,43",31.44838,47.44838,10.9568,3902.0,0.587442,7.70600831079852,5.22885444186566,TEMPERATE_SMALL_HOST,59.75,Small/cool star with comparatively accessible HZ.,0.0720731922470163,0.6032769666604464,0.2684645083563493,65.4127143916369,2
327000122,TIC 327000122,17,3,"17,18,24",38.15329666666666,62.15329666666666,8.2634,4284.39,0.675652,2.8381104228954,58.3499139335102,TEMPERATE_SMALL_HOST,58.5,Small/cool star with comparatively accessible HZ.,0.1385788112357242,0.6890280676743258,0.3722617509706366,99.94116130452068,3
