source_id,mission,instrument,sector,tic_id,stellar_radius,stellar_mass,stellar_teff,stellar_tmag,stellar_logg,stellar_ra,stellar_dec,bls_period,bls_power,bls_depth_ppm,tls_period,tls_sde,tls_snr,tls_odd_even_mismatch,cascade_status,cascade_confirmed,period,period_err,t0,duration_hours,depth,depth_ppm,rp_rs,rp_rs_err,impact_parameter,a_over_rs,inclination_deg,u1,u2,log_jitter,baseline,planet_radius_rearth,planet_radius_rjup,semi_major_axis_au,equilibrium_temperature_k,insolation_flux,stellar_density_gcm3,transit_depth_ppm,snr_adopted,snr_tls,snr_dutycycle,noise_ppm,cdpp_1hr_ppm,data_completeness,n_points,n_transits,residual_rms_ppm,transit_symmetry,timing_rms_min,fpp,is_false_positive,is_variable_star,is_binary_suspect,secondary_eclipse_depth_ppm,n_vetting_pass,n_vetting_fail,n_vetting_warn,vetting_flags,total_score,candidate_class,is_anomalous,anomaly_flags,fit_method,log_likelihood,r_hat_max,n_divergences,mcmc_converged,json_path,figure_dir,tid,novelty_status,discovery_priority,discovery_reason,science_priority_bucket,science_priority_score,science_priority_reason,hz_score,temperate_score,earth_similarity_score,hz_zone,temperate_flag,earthlike_flag,habitability_summary_label,stellar_luminosity_lsun,insolation_s_earth,moon_host_score,moon_host_flag,moon_host_summary_label,estimated_planet_mass_mearth,hill_radius_au,stable_prograde_zone_au,stable_prograde_zone_planet_radii,architecture_anomaly_score,architecture_flag,architecture_summary_label,ttv_score,asymmetry_score,residual_structure_score,pre_post_dip_score_out,shoulder_score_out,folded_multipeak_score_out,trojan_signal_score_out,exomoon_signal_score_out,lagrange_stationkeeping_review_score,science_theme,science_interest_score,exotic_priority_bucket,exotic_priority_reason
TIC 58732360,TESS,TESS,42,58732360,0.832237,0.64,4088.0,9.4103,4.40375,3.28835044918008,5.59527917955405,0.30853483054364833,9442.9021660176,408981.26167102344,0.6168909345576964,16.319193782315473,59.30254913132582,0.15306742215205096,confirmed,True,0.6170743685461064,0.0006168909345576964,2448.3549470922135,0.7049817965223409,0.47827597274285694,478275.97274285695,0.4959857471272947,0.0,0.0,3.158101893299437,90.0,1.0,1.0,-1.7533182894329,0.9683645591852339,45.074468544088425,4.01680522428226,0.012225021943597907,1487.6963261357344,1161.2564620044284,1.5657379493183066,246001.86135342074,59.30254913132582,59.30254913132582,0.6916094780337567,200083.39748409303,170047.99376686566,0.668874403330252,11090,38,173204.97630946536,0.9965234724191618,5.887778688386486e-09,0.3904761904761905,True,True,False,327942.2344823526,4,2,2,secondary_eclipse | stellar_variability,0.0,X,True,"Aktif yıldız + transit: LS_power=0.81, P_rot=0.15d | Fiziksel disi yaricap: 45.1 R_earth",map,3702.8037865725078,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_58732360_S42.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_58732360/figures,58732360,NOVEL_CANDIDATE,REJECT,radius too large,LOW_PRIORITY,0,false positive flag,0.0,0.0,0.0,too_hot,False,False,NON_TEMPERATE,0.17427387935574948,1161.2564620044284,35.25,False,GIANT_WORLD,382.3280814007501,0.0010299987627763261,0.0005046993937603998,0.2626236685656733,7.0667,NONE,STANDARD_ARCHITECTURE,0.0,0.4172,70.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,26.4375,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
TIC 357370384,TESS,TESS,57,357370384,0.558646,0.552966,3805.0,9.05277,4.68649,2.11366444469788,17.4242931801397,28.732057856587748,7.914242750865395,828.0965717449851,13.493917771723602,6.112102025185875,5.577352980856705,0.701388195105507,period_mismatch,False,13.493917771723602,0.028163865482396133,2853.3791588488393,1.1522470876108182,0.000415532718617051,415.532718617051,0.01833199624104096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1183065054231496,0.099657734376586,0.0910520022005152,415.7028240153539,7.07950480647978,4.472687050813002,336.06208618153994,5.577352980856705,5.577352980856705,0.04738947165754048,663.3102644618607,144.410671588888,0.8684116772331535,17977,3,0.0,0.991632108444395,3.780698478444997e-10,0.02857142857142857,False,False,False,0.0,7,0,1,,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_357370384_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_357370384/figures,357370384,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,SMALL_COOL_SECOND_LOOK,40,watchlist; class C; snr>=5.5; 3+ transits; small-cool-second-look,0.9974,2.1177,29.3685,too_hot,False,False,NON_TEMPERATE,0.05893682575481524,7.07950480647978,6.0587,False,STANDARD_PLANET,1.512429535033402,0.001273845395888276,0.0006241842439852552,13.091326244141912,0.1607,NONE,STANDARD_ARCHITECTURE,0.0,1.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,22.0263,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
TIC 439949946,TESS,TESS,17,439949946,0.620039,0.62,3959.0,7.3776,4.64562,1.42092453196458,45.8120958899851,6.715044384340773,15.186151456877843,521.2636931177794,6.717691991750136,3.186218839061037,7.266490444552302,,confirmed,True,6.7040660016996405,0.006717691991750136,1768.0020650566535,1.4394654444500081,0.0005422553226401838,542.2553226401839,0.010470780679887827,0.0,0.0,20.606260644279434,90.0,0.6632155618021772,0.3471206704844444,-7.57998340969045,1.0000090315762251,0.7089448768076247,0.06317752769738401,0.05933633733800434,564.4680368157544,24.067357062433047,3.6678775769589156,109.6372480463122,7.266490444552302,7.266490444552302,0.08621397448780016,627.8607223650984,147.07255856925957,0.7798879450540256,13085,3,627.7341762385657,0.9793237175760825,0.0,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,77913.41561557866,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_439949946_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_439949946/figures,439949946,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,SMALL_COOL_SECOND_LOOK,45,class A; snr>=5.5; 3+ transits; small-cool-second-look,0.0005,0.0078,21.2329,too_hot,False,False,NON_TEMPERATE,0.08508925704664007,24.067357062433047,1.2562,False,STANDARD_PLANET,0.2800697045089358,0.00045545680732531134,0.00022317383558940256,7.383503830216479,4.397,NONE,STANDARD_ARCHITECTURE,0.0,2.4812,40.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,15.9246,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
TIC 150970759,TESS,TESS,57,150970759,0.556754,0.55129,3853.0,10.7534,4.68812,5.38270308135094,19.5736418718855,0.3438092959604172,34.91552829600706,831.6356288348148,0.34299987361552964,3.590768781124489,14.504193133579648,0.2871551193719655,confirmed,True,0.34254830883949194,0.00034299987361552966,2853.682579269888,0.8659615736833881,0.0006517624943565004,651.7624943565004,0.021928302763312684,0.0,0.2794814027833161,3.0371546529068825,84.72012703159193,0.5071008115400129,0.08622358492154397,-7.535298465113596,1.0000722669621036,1.3331614992136283,0.11880450835743894,0.007856683189162926,1430.591955170889,992.9653539882102,4.504745299565832,480.8504620795067,14.504193133579648,14.504193133579648,0.13116668874602877,1694.9149413334546,608.854990902815,0.868073865413855,17970,83,1685.2111766621315,0.9950276453539302,1.6609794228444747e-09,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,89256.17127940556,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_150970759_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_150970759/figures,150970759,NOVEL_CANDIDATE,FOLLOWUP,strong candidate,SMALL_HOT,82,followup; class A; snr>=10; multi-transit; small-hot,0.0,0.0,19.0706,too_hot,False,False,NON_TEMPERATE,0.06154849503760625,992.9653539882102,1.25,False,STANDARD_PLANET,2.8977854219460837,0.00013665837696852763,6.696260471457854e-05,1.1780975990274585,7.0955,NONE,STANDARD_ARCHITECTURE,0.0,0.5967,70.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,14.303,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
TIC 150816111,TESS,TESS,57,150816111,0.511986,0.509775,3877.0,10.0719,4.72693,3.13963484024442,21.7134413515699,6.892109239231533,10.352612776832558,695.5065406608618,6.897712982210062,4.126262707871459,8.370204998011523,0.1946457046590702,confirmed,True,6.893677887573855,0.006897712982210062,2853.446986858662,1.7066749797270089,0.0008069445158485067,806.9445158485066,0.02466877777756687,0.0,0.3668122235125398,23.794636765635858,89.11670747483238,0.5424737734955256,0.2341862841492681,-7.146623030024086,0.9999996930022933,1.3791773513362233,0.1229052048531735,0.056631511525993924,514.162601394159,16.56810806115824,5.356541085186957,608.548597038977,8.370204998011523,8.370204998011523,0.07215395697794189,1354.2575256673792,282.56070525612523,0.868266917528867,17974,5,1351.6762964551558,0.9917706315804262,2.928516448809839e-10,0.02857142857142857,False,False,False,0.0,7,0,1,,100.0,A,False,,map,93247.53578886055,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_150816111_S57.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_150816111/figures,150816111,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,SMALL_COOL_CORE,65,class A; snr>=7.5; multi-transit; small-cool-core,0.0076,0.0543,16.7018,too_hot,False,False,NON_TEMPERATE,0.05335732952424804,16.56810806115824,1.2851,False,STANDARD_PLANET,3.285446741408646,0.0010543021704813042,0.000516608063535839,8.78562696737882,7.158,NONE,STANDARD_ARCHITECTURE,0.0,0.9875,70.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,12.5264,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
TIC 365961623,TESS,TESS,17,365961623,0.804821,0.64,4079.0,9.8191,4.43285,3.74607087859692,33.2615253697497,22.245503287921878,16.9076944441132,2426.727617588331,11.431964273986848,3.7677098155297455,12.244388012316858,5.717809148134483,period_mismatch,False,11.431964273986848,0.055283810400458044,1772.5802727025614,1.9064783740739197,0.001333698022591312,1333.6980225913119,0.03284247669970588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8863540266382164,0.25721705230951825,0.08559305904408003,551.6819796962925,21.959688467991395,1.7312597742487636,1078.6282757707236,12.244388012316858,12.244388012316858,0.12704721416784776,990.8236131781099,328.61487656752706,0.7699283938445611,13018,2,0.0,0.9695343838307401,0.0,0.2631578947368421,False,False,True,0.0,6,1,0,odd_even_mismatch,50.0,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_365961623_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_365961623/figures,365961623,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,-20,watchlist; class C; snr>=10; binary-suspect; high odd-even mismatch,0.001,0.0129,0.0043,too_hot,False,False,NON_TEMPERATE,0.1615504347851671,21.959688467991395,15.2597,False,STANDARD_PLANET,10.710709546930664,0.0021902126620617053,0.0010732042044102356,8.720963368321435,0.5849,NONE,STANDARD_ARCHITECTURE,0.0,3.6559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,11.4448,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
TIC 414782563,TESS,TESS,42,414782563,0.725696,0.7,4490.0,10.7653,4.56166,7.88652746390451,16.8487813045369,17.195785495771325,7.648204766774039,1979.6929698142617,11.150221915096221,3.501230077757862,7.2910789006280785,2.2681718043912023,period_mismatch,False,11.150221915096221,0.04468603805001514,2453.5523235358296,1.6454872921885193,0.0016182329708063214,1618.2329708063214,0.036176593470635295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.866796048223616,0.25547414568388993,0.0867333934101944,572.8425292107427,25.52771813209439,2.582938203947188,1308.7459151396122,7.2910789006280785,7.2910789006280785,0.08310781965228871,1835.8311135847202,420.6387919291708,0.6688749985951175,11090,2,0.0,0.9849459275269802,0.0,0.09473684210526316,False,False,False,110.38869814539166,5,0,2,,46.74390615499853,C,False,,cascade_only,0.0,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_414782563_S42.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_414782563/figures,414782563,NOVEL_CANDIDATE,WATCHLIST,moderate candidate,LOW_PRIORITY,12,watchlist; class C; snr>=5.5; moderate odd-even mismatch,0.0003,0.0056,0.0018,too_hot,False,False,NON_TEMPERATE,0.19283662987070466,25.52771813209439,15.2546,False,STANDARD_PLANET,10.616456886979611,0.002147740662973463,0.0010523929248569968,8.610191643515137,0.289,NONE,STANDARD_ARCHITECTURE,0.0,1.8065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,11.441,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
TIC 283859631,TESS,TESS,17,283859631,0.651021,0.67,4271.0,10.4597,4.63695,2.26207138301094,27.6515934891432,6.650578332449709,7.390813095752365,577.1219632262348,6.646792960625423,4.143592578509274,6.5824367215127415,1.3395823734392363,confirmed,True,6.636395265661485,0.006646792960625423,1766.445950989725,2.2982910010636473,0.000618442960075738,618.4429600757379,0.02050607656251954,0.0,0.8083478662780371,19.997649172604632,87.68335054244208,0.9903835783493958,1.0,-7.927290124341197,1.000026154509719,1.4577799430302067,0.12990986427915638,0.060479902424127596,618.0537509981018,34.59202353243922,3.4242855479618783,420.4991759879132,6.5824367215127415,6.5824367215127415,0.06816325071444782,1321.8660215181503,290.49688465164036,0.7684681895856867,12918,4,1321.5318963689924,0.9860146118125604,2.3151955358767474e-10,0.0,False,False,False,5.686292096962475,8,0,0,,100.0,A,False,,map,67304.81912213781,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_283859631_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_283859631/figures,283859631,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,SMALL_COOL_SECOND_LOOK,45,class A; snr>=5.5; 3+ transits; small-cool-second-look,0.0,0.0009,12.7542,too_hot,False,False,NON_TEMPERATE,0.1270582857785124,34.59202353243922,1.2509,False,STANDARD_PLANET,4.033297818274016,0.001100629695099946,0.0005393085505989736,8.677148514615329,7.2685,NONE,STANDARD_ARCHITECTURE,0.0,1.6782,70.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,9.5657,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
TIC 257303702,TESS,TESS,43,257303702,0.64946,0.626722,3982.0,10.7463,4.61004,7.62194742018115,4.33903555952655,1.4026384055347267,16.842156792450858,656.189839870036,1.3982097382765362,3.7160714152026806,10.169360479909956,0.0388430688742966,confirmed,True,1.4032254426147834,0.0013982097382765361,2474.845984091426,1.9531197385305934,0.0007200680534310555,720.0680534310555,0.027594468702595087,0.0,0.0,6.934178675805145,90.0,0.0,-0.15605007384355948,-7.539562291076513,1.0000697736930237,1.9569910665270378,0.17439699665478317,0.02099300446218803,976.8882317517456,215.89893148603548,3.2262489728761374,761.4547029784998,10.169360479909956,10.169360479909956,0.11486873236070669,1705.930701192009,571.4364205987927,0.787448398240216,13667,17,1698.9363535118098,0.9843779732138098,2.355697654879082e-09,0.0,False,False,False,0.0,8,0,0,,100.0,A,False,,map,67769.74510424888,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_257303702_S43.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_257303702/figures,257303702,NOVEL_CANDIDATE,FOLLOWUP,strong candidate,SMALL_COOL_CORE,95,followup; class A; snr>=10; multi-transit; small-cool-core,0.0,0.0,0.714,too_hot,False,False,NON_TEMPERATE,0.09554424863744418,215.89893148603548,1.25,False,STANDARD_PLANET,6.46292714500379,0.00045711732962789523,0.00022398749151766867,2.6845198419905176,7.2999,NONE,STANDARD_ARCHITECTURE,0.0,1.8746,70.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,5.475,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
TIC 191080974,TESS,TESS,17,191080974,0.65877,0.69,4428.0,9.8301,4.63945,7.67470231542111,47.5024277100564,9.980786156893018,10.337355534983168,917.3252529309783,9.984569899365894,2.9946245826766074,8.706335761986232,2.650871867135732,confirmed,True,9.904818783569056,0.009984569899365895,1766.9780357230197,2.2009298755737854,0.0009279048553360036,927.9048553360036,0.0278542256697342,0.0,0.9998683925643067,26.176386781332567,87.810920982399,0.38480233368303396,-0.34837197921737084,-7.790549111247839,1.0000304789148213,2.0037304661221818,0.1785621719865778,0.07976493899990925,561.2717932955586,23.526853644939354,3.403516138073708,775.8578876604795,8.706335761986232,8.706335761986232,0.09001363910514039,1038.9005643207236,260.07927776806514,0.786697989514354,13060,2,1038.7897906735675,0.9923767918246965,0.0,0.07894736842105263,False,False,False,1.8664207370733266,6,0,1,,100.0,A,False,,map,71190.65243921112,0.0,0,False,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/json/TIC_191080974_S17.json,/mnt/c/Users/Gamze/Desktop/projects/AstroTransit/outputs_discovery/targets/TIC_191080974/figures,191080974,NOVEL_CANDIDATE,REJECT,low quality or likely false positive,SMALL_COOL_CORE,47,class A; snr>=7.5; moderate odd-even mismatch; small-cool-core,0.0006,0.0089,0.4941,too_hot,False,False,NON_TEMPERATE,0.1503116997848065,23.526853644939354,1.2569,False,STANDARD_PLANET,6.66430486664641,0.0016993478005810155,0.0008326804222846976,9.746995098088304,7.1464,NONE,STANDARD_ARCHITECTURE,0.0,0.9148,70.0,0.0,0.0,0.0,0.0,0.0,0.0,STANDARD_TRANSIT,5.3598,LOW_PRIORITY,"Scientifically valid candidate, but not strongly prioritized under the new exotic themes."
