TIC_ID,TID,Status,ESI_Score,TSM_Score,Rp_Earth,Teq_K,Period_days,SNR,FPP,Source
TIC 357370384,357370384,ÖZGÜN / NON-TOI ADAY,0.7417,5.77,1.118,415.7,13.4939,5.6,0.029,TIC_357370384_S57.json
TIC 150816111,150816111,ÖZGÜN / NON-TOI ADAY,0.5907,5.83,1.379,514.2,6.8937,8.4,0.029,TIC_150816111_S57.json
TIC 439949946,439949946,ÖZGÜN / NON-TOI ADAY,0.5438,13.75,0.709,564.5,6.7041,7.3,0.0,TIC_439949946_S17.json
TIC 439949948,439949948,ÖZGÜN / NON-TOI ADAY,0.5416,15.93,1.423,559.1,6.7414,7.9,0.0,TIC_439949948_S17.json
TIC 407393440,407393440,ÖZGÜN / NON-TOI ADAY,0.5129,63.68,2.482,459.3,11.6813,11.6,0.0,TIC_407393440_S18.json
TIC 352179145,352179145,ÖZGÜN / NON-TOI ADAY,0.5075,127.73,2.053,512.6,11.4393,18.9,0.0,TIC_352179145_S17.json
TIC 150908292,150908292,ÖZGÜN / NON-TOI ADAY,0.4988,34.61,2.164,509.4,11.5632,7.4,0.079,TIC_150908292_S17.json
TIC 427332476,427332476,ÖZGÜN / NON-TOI ADAY,0.4963,5.07,1.109,651.5,9.7826,7.2,0.014,TIC_427332476_S42.json
TIC 283859631,283859631,ÖZGÜN / NON-TOI ADAY,0.4889,3.99,1.458,618.1,6.6364,6.6,0.0,TIC_283859631_S17.json
TIC 191080974,191080974,ÖZGÜN / NON-TOI ADAY,0.4723,54.75,2.004,561.3,9.9048,8.7,0.079,TIC_191080974_S17.json
