TIC_ID,TID,Status,ESI_Score,TSM_Score,Rp_Earth,Teq_K,Teq_C,Period_days,Teff_K,R_star,Tmag
TIC 289972535,289972535,ÖZGÜN / NON-TOI ADAY,0.9866,9.01,0.94,288.2,15.0,14.2,3232.0,0.274,10.428
TIC 152366332,152366332,ÖZGÜN / NON-TOI ADAY,0.9866,5.28,0.94,288.1,15.0,14.2,3250.0,0.271,11.6368
TIC 43783348,43783348,ÖZGÜN / NON-TOI ADAY,0.9866,5.09,0.94,288.2,15.0,14.2,3217.0,0.277,11.6276
TIC 383353664,383353664,ÖZGÜN / NON-TOI ADAY,0.9866,3.77,0.94,288.1,15.0,17.8,3199.0,0.325,11.578
TIC 154341239,154341239,ÖZGÜN / NON-TOI ADAY,0.9865,6.42,0.94,288.2,15.1,21.5,3378.0,0.331,10.345
TIC 423667418,423667418,ÖZGÜN / NON-TOI ADAY,0.9865,4.73,0.94,288.1,14.9,17.8,3425.0,0.284,11.6786
TIC 74401074,74401074,ÖZGÜN / NON-TOI ADAY,0.9865,4.31,0.94,288.1,14.9,17.8,3355.0,0.296,11.7034
TIC 411122828,411122828,ÖZGÜN / NON-TOI ADAY,0.9865,3.79,0.94,288.1,14.9,21.5,3383.0,0.33,11.5056
TIC 341439743,341439743,ÖZGÜN / NON-TOI ADAY,0.9865,3.34,0.94,288.2,15.1,21.5,3367.0,0.333,11.7366
TIC 405423475,405423475,ÖZGÜN / NON-TOI ADAY,0.9865,3.34,0.94,288.1,14.9,21.5,3358.0,0.335,11.7162
